,review,produk,packaging,pengiriman
0,"Dipesan RAM 6GB, dikirim RAM 4GB , semoga bisa diganti dengan pesanan yg sesuai",-1,0,0
1,Produk ada blank hitam di bagian kiri bawah layar,-1,0,0
2,"SAYA BELUM TERIMA PRODUK SAMA SEKALI.

NO. RESI TIDAK SESUAI DENGAN ALAMAT SAYA.

MOHON MASUKIN NO. RESI YANG BENER.",0,0,-1
3,"Kartu garansi diluar,  robek pula dan garansi gak jelas",0,-1,0
4,"Blibli distributor nya harus di black list, hp yg sy pesan baru sekitar 2 minggu ada kendala dan sy bawa ke servis centre distributornya, sy dijanjikan 2 minggu, tp sdh lewat waktu hp sy blm selesai juga.",-1,0,0
5,Kok srkarang byr ongkir sih.. Kmrn2 ga...  Jd bete sma blibi mna mhl lg ongkirnya 200rban.. ,0,0,0
6,"Pembelian KBO 190LW di blibli pertanggal 12 Juni 2018. Kartu Garansi setelah di cek berlaku sampai dengan November 2018. Hanya sisa 5 bulan lagi, kayaknya barang reject orang lain dikirim ke saya. Kardus ada melengkung ke bawah di bagian atas nya dan ternyata memang ke oven nya rada penyok di bagian atas nya.
Yah semoga aja awet.",-1,-1,0
7,Ini toko engga recomended bgt!!! Oven yg saya terima penyok.. Bukan salah ekspedisi karena kardus ny kokoh dan ok ga ada penyok sama sekali.. Emang barang ny penyok dr seller.. Sayang aja udh mepet libur lebaran.. Klo ga mepet libur lebaran udh minta retur!!! Tolong donk jd seller yg jujur dan profesional!!!! Jgn beli di toko ini deh!!! NOT RECOMENDED!!!,-1,0,0
8,Barang yang dikirim cacat (penyok didinding samping oven).... itu bukan karna kesalahan jasa pengirimnya. Krna kardus dalam keadaan rapi tanpa ada penyok sedikitpun. Kecewa dengan pelayanan toko ini.... ,-1,0,0
9,"Sampe sekarang barang blm saya terima,. Parah",0,0,-1
10,"Barang penyok, minta retur, dikirim lagi masih penyok juga walau mendingan, udah malas retur lagi, harusnya packing kayu. ",-1,-1,0
11,Katanya tingginya 3cm tp pas dtg g smpk 3cm,-1,0,0
12,Yang dikirim bukan motif rainbow tapi motif mario super dan ukurannya bukan king tapi single. Mengecewakan....,-1,0,0
13,"Saya pikir ukuran xl sesuai dan pas di badan,tidak taunya lengannya keciiiiiiiiiiiiiiiil....bngt!!!!!!!!!!",-1,0,0
14,"Produk ternyata rijek, ada noda kuning. 
Di disc krn brng rijek bukan disc histeria",-1,0,0
15,pesanan belum saya terima tolong di pastikan .karena di jnt 02 .plaju .iya itu saya nama kusut .no hp 085927952441.belum menerima pesanan saya .,0,0,-1
16,barang belum sya terima  sudah transfer ini gmana blibli .. ,0,0,-1
17,Lama sekali sampenya.jkt mlg masak 7 hari baru sampe.parah blibli.kecewa.,0,0,-1
18,Snapdragon sy tanya Snapdragon 626 tp sy terima 450 tolong di tukar..,-1,0,0
19,"Gak sesuai, infonya kamera belakang 13 dan 8mp dan digambar juga kamera ganda, tapi yang datang kamera belakang 1 aja. Dilapak garansi 24 bln, tapi di imei hanya 12m. Maaf saya refund aja. Deskripsi gak sesuai produk",-1,0,0
20,"Mengecewakan menerima order dengan cepat, tapi pengiriman lama bahkan hanya dibungkus bubble saja (transparan). Tidak rekomend !! 3 unit repacking semua.",0,-1,-1
21,not recommended seller. pengiriman lama udah gitu jelas2 judul warna abu2 dikirim rosegold. gw cowok masak pake hp warna pink.,-1,0,-1
22,"pesan 2 unit, hanya 1 unit yg diterima. 
di struk toko penjual jg tertulis hanya 1 unit.",0,0,0
23,"Baru ini ada yg mengecewakn pengiriman 8 hari, warna tidak sesuai yg datang warna gold.....",-1,0,-1
24,Pesan grey yg dateng black. Barang REPACK PULA NOT RECOMEND,-1,-1,0
25,"Penjual tidak jujur!!! Barang second dihargai barang baru, kirain bakalan bagus kalo sesama kota eh gak taunya malah parah ",-1,0,0
26,packing rapi sih tp bau2 repack ngepack ulangnya,0,-1,0
27,Hp sudah di buka alias bekas pakai di pucking lagi alias repucking. Ini penjual b4ngsat mata duitan ga jujur ga sesuai diskripsi produk,-1,-1,0
28,Penjual tidak jujur barang repacking di info bukan repacking ,0,-1,0
29,"Cari rejeki buat keluarga yg jujur gan, barang repacking lo bilang packing ori. Saller gak jujur hati2 yg mau beli. ",0,-1,0
30,Aduh kok hp keluaran terbaru udh ada yang repacking aja. SELLER NAKAL tolong ditertibkan dong. Bisa mencoreng nama baik blibli.,-1,-1,0
31,Repack. Hati2 buat yg mau beli. Repack. Repack. Repack. ,0,-1,0
32,"hati hati beli disini. barang repacking. katanya bukan repacking, ternyata REPACKING.",0,-1,0
33,REPACKING. BARANG 7 HARI BARU DIPROSES.  JANGAN BELI DISINI KIRIMNYA LAMA. BELI 2 DATANGNYA BEDA BEDA. ,0,-1,-1
34,"Produk lama sampai,gaada ket ternyata 1 repack,1 normal.kenapa gitu ya kalo blh tau.klo diperbolehkan kita minta pengembalian karnea merasa ga sesuai",0,-1,-1
35,"Tidak sesuai deskripsi,  barang yang saya terima ternyata repacking,  garansi distributor dipacking jadi tam,  saya merasa dibohongi.  Jangan sampai ada yang beli dari toko ini,  tolong g blibli ditutup saja,  ini sama saya membohongi publik",-1,-1,0
36,REPACKING COY. GA DICANTUMIN DI KETERANGAN KALO BARANG REPACK . KECEWA,0,-1,0
37,BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK BARANG REPACK ,0,-1,0
38,Beli mahal2 dapat repacking it nyesek bgt,0,-1,0
39,"Segel tidak orisinal. Repaking. Entah produk dalamnya bagaimana, karena segel saja bukan asli.",0,-1,0
40,"Not recommended. Mengecewakan. Redmi 5A yg sy terima repack. Kelihatan banget plastik wrapingnya tidak rapi. Untungnya buat dipakai sendiri. Sebagai penjual seharusnya Butik Gadgets cek barang dulu sebelum dikirim. Masalahnya sy tidak bisa retur karna pas bebarengan dengan program cashback. Yasudahlah. 
Note: Ini adalah pertama kalinya sy memberi review tidak baik selama 10 tahun belanja online.",0,-1,0
41,"Type hp tidak sesuai bos haduh,
Xiaomi note 5 pro yg dicantum nya
Tapi ko malah xiaomi not 5 doang mana PRO nya bos, sengaja yg note 5 dijual buat beli yg pro eh malah dapet yg note 5 juga, KECEWA bos",-1,0,0
42,"Kamera secondary di lapak tulisnya 20mp, dikotak 13mp..harga lbh mahal",-1,0,0
43,"Tidak sesuai deskripsi,katanya note 5 pro,ini note 5 yg datang,trus warna nya pun di kasih gold bukan yg black,sangat mengecewakan..👎👎👎",-1,0,0
44,"Barang tidak sesuai, mohon para pembeli berhati2, dikarenakan di box tidak ada tulisan bahasa Indonesia, kadang pembeli tidak mengetahui, jadi disangkanya barang yang dikirim bener, untuk redmi note5 pro itu camera depan 20mp, yang dikirim 13mp",-1,0,0
45,Saya mau retur tidak sesuai yg saya pesan. Saya pesan redmi note 5 pro bukan note 5.,-1,0,0
46,"Mengecewakan.. katanya di deskripsi camera depan 20mp dan yg seri pro.
Ternyata yang datang 12mp dan bukan pro.
Not recommended",-1,0,0
47,Pesan note 5 pro tapi terima note 5?,-1,0,0
48,Seller blibli sekarang makin banyak yang curang. BARANG REPACKING.,0,-1,0
49,"pengiriman sangat lama sekali, di track dan telp ke etobee ternyata barang belum dikirim, seller not recommended",0,0,-1
50,"sdh diterima, pengiriman sangat sangat lama, tracking resi ternyata fidak bisa",0,0,-1
51,Ini barang sudah repacking. Segel plastiknya tidak halus. Saya minta tukar dengan yang benar2 baru. Tolong jangan bodohi pembeli.,0,-1,0
52,parah...segel plastik rusak.... udh ke buka...di segel plastik ulang n berantakan plastiknya...bnr2 kecewa,0,-1,0
53,"Barang hp tidak dipacking dengan baik, tanpa bublewrap, pasti di ekpedisi dilempar lempar paketnya",0,-1,0
54,sedih banget yang di kirim repacking semua,0,-1,0
55,"Pengiriman lama banget, dan no resi yg tercantum tidak sesuai dengan kenyataan, karena waktu di telfon ke pihak etobee, dinyatakan barangnya belum diterima utk dikirim, jd dr awal pemesanan status nya siap dikirim terus dan diterima lewat dari batas pengiriman yg seharusnya, SUPERMURAHHP MERCHANT YG SAMA SEKALI TDK RECOMMENDED ",0,0,-1
56,Parah.. Repacking.. Dalemnya udah ada aplikasi gk jelas plus launcher gk jelas.. Beli disini serasa beli garansi distributor ky bukan resmi.. ,-1,-1,0
57,"wrapping ulang, begitu dibuka dan dinyalakan tidak melakukan setting lagi, kalau baru beneran kan harusnya setting miui dll dulu",-1,-1,0
58,"Kecewa pengirimannya salah terus barang blm nyampe status sudah di terima nama orang lain 
Tolong perbaiki lagi untuk logistiknya",0,0,-1
59,"Beli gray 2 tp yg dikirim gray 1 gold 1
Smuanya repack",-1,-1,0
60,Awas barang yang dijual seller adalah repack,0,-1,0
0,"Brang sesuai pesanan pengiriman cepat, cuma pihak jnenya saja y lama. ",1,0,1
1,Barang sesuai description... Pengiriman cepat... Smoga awet,1,0,1
2,"Thanks, barang sudah sampai ditujuan dan sesuai",1,0,0
3,"Keren ne toko & jasa pengiriman nya
Seusai estimasi waktu....
Di box kayu, bukanya aja penuh perjuangan...
Barang ORI dan kualitas....
Puasssss",0,0,1
4,"Prodak sesuai , baru di coba semoga tidak ada kendala .. Thank you ",1,0,0
5,Warnanya cantik. Ada free soft case nya jg dlm dus,1,1,0
6,pengiriman cepatt......brg sesuai pesanan....blm dicoba semoga brg bgs dan gak ada msl ..,1,0,1
