"review","rating","produk","packaging","pengiriman","general"
"Brang sesuai pesanan pengiriman cepat, cuma pihak jnenya saja y lama. ","5",1,0,1,0
"Barang sesuai description... Pengiriman cepat... Smoga awet","5",1,0,1,0
"Thanks, barang sudah sampai ditujuan dan sesuai","5",1,0,0,0
"Keren ne toko & jasa pengiriman nya
Seusai estimasi waktu....
Di box kayu, bukanya aja penuh perjuangan...
Barang ORI dan kualitas....
Puasssss","5",0,0,1,1
"Prodak sesuai , baru di coba semoga tidak ada kendala .. Thank you ","5",1,0,0,0
"Warnanya cantik. Ada free soft case nya jg dlm dus","5",1,1,0,0
"pengiriman cepatt......brg sesuai pesanan....blm dicoba semoga brg bgs dan gak ada msl ..","5",1,0,1,0
"Produk sudah di terima dgn baik, kualitas Mantap","5",1,0,0,0
"Produck bagus kemasan ok banget sampai dipaking kayu","5",1,1,0,0
"Sudah sampai di kalimantan dg selamat. So happy with the quality!","5",1,0,0,0
"Awalnya deg2an n sempat ragu.. Cm setelah barang di cek dan digunakan smpai skrg oke n ori ada kartu garansi imei trdftr .. ada nota pembelian ddlm... Tambah review spy mkin bnyk yg prcaya.... ","5",1,0,0,0
"Response sangat cepat dengan pengiriman juga cepat. Packaging rapi. Barang ori dgn harga bersaing","5",1,1,1,0
"Barang berfung dengan baik, sesuai iklan speknya. pengiriman cepat sampai.","5",1,0,1,0
"Barang original dan harga lebih murah daripada beli di toko","5",1,0,0,0
"Barang sesuai dengan pesanan. Keren dan cepat dalam pengirimannya","5",1,0,1,0
"Pengiriman cepat, barang sesuai deskripsi. Terima kasih","5",1,0,1,0
"Awalnya ragu karna harga lebih murah dr pasaran, tp rating penjual bagus dan review bagus. Ternyata barangnya bagus dan ori ada kartu garansi lengkap plus soft case transparan dalam dus. Thanks","5",1,1,0,0
"Suka belanja di sini... 1 hari sampe.. mantap dah","5",0,0,1,0
"Barang sdh diterima dgn baik, pengiriman jg cepat terima kasih blibli","5",0,0,1,0
"Pengiriman sangat cepat, meski tujuan akhir di daerah pelosok hutan luar jawa. Dan produk sesuai iklan. N waktu datang dan sampai d gunakan adalah sip....","5",1,0,1,0
"Pengiriman cepat, pack rapi, barang ok , tq ya blibli , recomended seller nich harga juga cincayy","5",1,1,1,0
"Barang ori, garansi resmi..
Harga murah, selisih 250ribu dgn harga toko offline","5",1,0,0,0
"Puas beli lewat seller ini...estimasi pengiriman 2-5 hari..tapi realisasi nya 1hr saya sudah terima paketnya","5",0,0,1,0
"barang sudah terima dan berfungsi dengan baik, kiriman super cepat...makasih","5",1,0,1,0
"Barang cepat sampai sesuai deskripsi. Belum di tes pakai barangnya jadi belum bisa komen lanjut","5",1,0,0,0
"pengiriman sangat cepat nunggu barangnya cuma 2 hari aja, produk berfungsi normal","5",1,0,1,0
"Packing rapi sayang cuma pake bubble mofa aja awet","5",0,1,0,0
"Respon merchant yg sgtt cepat.. Dan harganya pun lebih murah  dibandung yg lain. Sampai beli 3x di sini.. Tq blibli dan merchant","5",0,1,0,0
"Pakai gosend pesan siang, sore udh sampe
Pengiriman nya cepat, hp nya sesuai sm deskripsi tp untuk packing nya msh blm padat
Over all good lah
Thx blibli & gosend ","5",1,0,1,0
"Sudah diterima...packing aman dan rapi...mudah2an tidak ada masalah dan awet...thanks blibli","5",0,1,0,0
"Bagus banget.. elegant. Tapi sayang kurang handsfree nya ga ada dalam box.","5",-1,0,0,0
"Good produck dan pengirimannya cepat 👍 Tq merchant dan blibli","5",1,0,1,0
"Berfungsi dan diterima dengan baik, pengiriman juga cepat. Terima kasih","5",1,0,1,0
"Recommended banget beli barang di blibli, pertahankan kecepatan delivery barang dan kemudahan pilihan pembayaran.... 

Utk pilihan klikbca kalau bisa batas waktunya diperpanjang... Jadi 12 jam at least ","5",0,0,1,0
"barang cepet banget sampeny n rapi... lom di test hp ny semoga gak ada keluhan","5",0,0,1,0
"Barang berfung dengan baik, sesuai iklan speknya. pengiriman cepat sampai","5",1,0,1,0
"Barang diterima dengan baik, packing ok dan cepat pengiriman","5",0,1,1,0
"Barang diterima dengan baik dan respon seller cepat.. Tks blibli ","5",0,0,0,1
"Barang dipacking sangat aman. Pengiriman cepat sekali. Terimakasih Blibli","5",0,0,1,0
"Pengiriman cepat. Dos packing sebaiknya diganjal spy tdk longgar
","5",0,-1,1,0
"Pengiriman baik dan sangat cepat, kondisi produk baik. hanya saran saja untuk kemasan agar di buat lebih aman lagi. thanks","5",1,-1,1,0
"pengiriman dan kemasan sangat baik, tapi deskripsi produk tolong di perbaiki karena kelengkapan paket ditulis dapat handsfree tapi begitu saya unboxing tidak ada handsfree","5",-1,1,1,0
"packing sangat aman, kualitas produk sangat baik","5",1,1,0,0
"Pengiriman cepat , packing rapi, semoga barangx awet..kecewa headset tdk ada di dalam dos","5",-1,1,1,0
"Barang dah datang.  Kok ga ada head setnya? Apa produk ini ga ada head set kah Min? ","5",-1,0,0,0
"pingiriman sangat cepat, mantap dah,, maju terus buat tokonya.","5",0,0,1,0
"Pengiriman cepat sesuai jadwal, packing mantap walaupun dikirim pakai gojek tetap dibubble tebal.. recommended seller.. thanks","5",0,1,1,0
"produk sesuai pesanan barang cepat sekali sampainya gak ada cacat kemasan rapih.. mantapp ","5",1,1,1,0
"Barang sudah diterima dengan baik.. semoga awet. Mantap pelayanannya","5",0,0,0,1
"Pengiriman cepat banget.
Produk segel. Dan warna sesuai pesanan.
Alhamdulillah.
Thanks","5",1,1,1,0
"Produk bagus. Packaging jg bagus. Pengiriman biasa ajah. ","5",1,1,0,0
"pengiriman cepat dan produk sesuai dengan deskripsi,goodjobs","5",1,0,1,0
"Barang bagus new masih segel,juos saya pesan ungu dikasih ungu","5",1,0,0,0
"Sangat puas lay produk masih segel pengiriman cepat","5",0,1,1,0
