"review","rating","produk","packaging","pengiriman","general"
"Saya tidak suka pengirimanya terlalu lama dari prepared product sampai pengirimanya totaly 5hari dari pesanan barang,,
Untuk yang lain over all masih bagus","3",0,0,-1,0
"Warnanya agak tosca bukan bener2 putih. Ada cacat produksi kayanya. Krn dibagian busanya mengelupas :(","3",-1,0,0,0
"saya pesan 80cm tapi yang dikirim malah 30cm","3",-1,0,0,0
"Kualitas barang sangat baik. Sayang expedition vendor nya sangat mengecewakan. Barang hampir 2 minggu baru sampe. Padahal masih di jabodetabek.","3",1,0,-1,0
"brg sdh sampai dan sudah dicoba,,semoga awett","3",0,0,0,0
"Kualitas blm berani koment krn blm tau kedepannya bagus or tdk","3",0,0,0,0
"Kurang memuaskan proses terlalu lama membutuhkan waktu 3 hari.beda sama saya belanja sebelumnya 1 hari udah statusnya d kirim","3",0,0,-1,0
"Agak kecewa sih soalnya beli vivo kok ringnya  oppo ","3",-1,0,0,0
"Respon penjualnya agak lama. Untuk produk diterima dengan baik.","3",0,0,0,-1
"Barang cpt smp tp tmn ngeluh ga dpt headsetny n stiker kardusny spt sdh dibuka gitu....","3",-1,0,0,0
"Dikirim ke medan produk diterima dengan kondisi baik","3",0,0,0,1
"PENGIRIMAN SUPER CEPAT, BARANG BERFUNGSI NORMAL, THX BLIBLI","3",1,0,1,0
"Produknya bagus. Tapi Pengiriman sangat lama dan packing rapi. Sehingga barang aman sampai di tujuan.
","3",1,1,-1,0
"berfungsi dengan baik, namun sewaktu digunakan agak panas, entah kenapa, semoga tidak ada fault....baru pertama pake toshiba, biasanya klo wd ato seagate gak gini","3",1,0,0,0
"pesan 2 buah, pengiriman dilapisi kardus tanpa buble wrap. satu barang saya terima dengan kondisi kemasan rusak/penyok","3",-1,-1,0,0
"Kualitas sennheiser sih jangan diragukan lagi, cuma pengirimannya aja yg lama.","3",1,0,-1,0
"Ori tam, no repack cuma packing dus kecil dan koran tanpa bubble, recomeded buat satu kota aja kalau diluar kota JANGAN beli disini penyokk gan ","3",1,-1,0,0
"Pengiriman cepat tapi sayang pas di cek untuk buka sim cardnya tidak ada","3",-1,0,1,0
"barang bagus. tapi packing kurang. tidak dipakaikan bublewrap. hanya kotak dan plastik didlm.","3",1,-1,0,0
"Seller koplak . Ngirim hp tanpa bubble warp .. cuma kardus...
Mengerikan kalo hpnya rusak","3",0,-1,0,0
"blom sempat dicoba , moga2 gak ada masalah","3",0,0,0,0
"Produknya bagus,cm segel nya terbuka saat terima ,jasa pengirimannya lama","3",1,-1,-1,0
"Barang bagus tapi kenapa saya dapatnya yang matte black padahal saya pesan yang matte black, cukup kecewa","3",-1,0,0,0
"Barang sampai lebih cepat dari perkiraan, masih dicoba. Jadi belum bisa kasih bintang banyak","3",0,0,1,0
"barang ok,
ongkir ok,
kurir ga ok, masa di minta 5rb di rmh?
mau nipu?","3",1,0,-1,0
"Secara fungsi tidak ada masalah,
Hanya display saja yg mati. 
Tapi saya yakin kalo belinya di Blibli produk yg bermasalah mudah untuk ditukar dengan yg baru. ","3",-1,0,0,0
"Kenapa kok layarnya tidak seterang mi band yang lainnya","3",-1,0,0,0
"Pengirimannya cepat dan barangnya juga bagus. Tp ini garansinya berupa kartu atau apa ya? Karena di boxnya cuma ada manual aja.","3",1,0,1,0
"barang baru sayang segel di box telah dibuka oleh penjual","3",0,-1,0,0
